Gene,Leg_MF1,Leg_MF2,Leg_MF3,Leg_VF1,Leg_VF2,Leg_VF3,Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
XM_038047264.1,22.7871639,62.58866832,14.49291838,25.38791309,16.42032759,31.00235718,nan,28.40841636,-0.504067324,0.715341397,-0.704652808,0.481026326,0.611417387
XM_038047265.1,12134.76444,8323.510528,7158.595873,6154.328815,6636.001722,5633.128299,nan,7554.070939,-0.593292547,0.241042458,-2.461361169,0.013841095,0.071017682
XM_038047266.1,0,3.91179177,5.434844393,0,3.284065517,0,nan,2.008302955,-1.609516896,2.527976085,-0.636682011,0.524331994,NA
XM_038047267.1,130.7263613,640.7514919,846.9299179,1751.766003,930.4852299,1054.080144,nan,880.0605408,1.169180333,0.630307324,1.854936931,0.063605233,0.160790446
XM_038047268.1,1785.794055,1249.426291,1322.478802,1636.773691,1561.025809,1586.287275,nan,1498.988148,0.123071957,0.184467196,0.6671753,0.504660167,0.632533266
XM_038047269.1,2023.26029,1547.504824,1774.476694,2419.318777,2062.393145,2051.322633,nan,1948.181926,0.275065665,0.16598317,1.657190089,0.09748105,0.207791649
XM_038047270.1,1836.165681,1337.050427,1474.654445,1835.396776,1713.187511,1673.093876,nan,1618.803855,0.154915507,0.168865408,0.917390416,0.358938093,0.497677548
XM_038047271.1,1941.706229,1491.957381,1693.859836,2265.497892,1975.912753,1962.449209,nan,1858.744486,0.260384808,0.160252749,1.624838323,0.104197013,0.216166161
XM_038047272.1,1785.794055,1249.426291,1322.478802,1636.773691,1561.025809,1586.287275,nan,1498.988148,0.123071957,0.184467196,0.6671753,0.504660167,0.632533266
XM_038047273.1,1785.794055,1249.426291,1322.478802,1636.773691,1561.025809,1586.287275,nan,1498.988148,0.123071957,0.184467196,0.6671753,0.504660167,0.632533266
XM_038047274.1,1785.794055,1249.426291,1322.478802,1636.773691,1561.025809,1586.287275,nan,1498.988148,0.123071957,0.184467196,0.6671753,0.504660167,0.632533266
XM_038047275.1,1785.794055,1249.426291,1322.478802,1636.773691,1561.025809,1586.287275,nan,1498.988148,0.123071957,0.184467196,0.6671753,0.504660167,0.632533266
XM_038047276.1,1785.794055,1249.426291,1322.478802,1636.773691,1561.025809,1586.287275,nan,1498.988148,0.123071957,0.184467196,0.6671753,0.504660167,0.632533266
