Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Name
XM_038046746.1,290.037057,-0.139431916,0.160774444,-0.867251735,0.385804095,0.463477461,nan
XM_038046747.1,290.037057,-0.139431916,0.160774444,-0.867251735,0.385804095,0.463477461,nan
XM_038046748.1,290.037057,-0.139431916,0.160774444,-0.867251735,0.385804095,0.463477461,nan
XM_038046749.1,290.037057,-0.139431916,0.160774444,-0.867251735,0.385804095,0.463477461,nan
XM_038046750.1,290.037057,-0.139431916,0.160774444,-0.867251735,0.385804095,0.463477461,nan
XM_038046751.1,0.073920405,-0.640917122,3.662339012,-0.175002128,0.861077961,0.902429542,nan
XM_038046752.1,487.7037289,1.941691004,0.539028419,3.602205255,0.000315529,0.000615982,nan
XM_038046753.1,1344.515681,-1.636078982,0.347520522,-4.707862921,2.50327339907351e-06,6.17805664495406e-06,nan
XM_038046754.1,27.26817077,-3.586845951,0.50282503,-7.133387828,9.79281210716041e-13,4.56441172233689e-12,nan
XM_038046755.1,714.9407927,-0.695538203,0.110327199,-6.304322132,2.89457916253362e-10,1.04945561735963e-09,nan
XM_038046756.1,2.47590179,2.459800589,1.000914505,2.457553145,0.013988711,0.022047055,nan
XM_038046757.1,193.0420138,3.358314255,0.394677367,8.509011496,1.75422446155158e-17,1.25866116850416e-16,nan
XM_038046758.1,193.0420138,3.358314255,0.394677367,8.509011496,1.75422446155158e-17,1.25866116850416e-16,nan
XM_038046759.1,193.0420138,3.358314255,0.394677367,8.509011496,1.75422446155158e-17,1.25866116850416e-16,nan
XM_038046760.1,1.995505473,1.755065759,1.451529078,1.209115123,0.22661862,0.289118293,nan
XM_038046761.1,702.7533296,-2.183722678,0.22126862,-9.869102456,5.66693997251802e-23,6.04178827759225e-22,nan
XM_038046762.1,22.61650912,1.241725458,1.060250466,1.171162378,0.241533514,0.306366784,nan
XM_038046763.1,19.88078745,2.641142984,0.562949241,4.691618336,2.7105242017862e-06,6.6701403969118e-06,nan
XM_038046764.1,19.6221625,2.716405617,0.569712737,4.768026831,1.86039011701981e-06,4.66539103978582e-06,nan
XM_038046765.1,203.7611672,1.376861782,0.170703465,8.065810409,7.27516366042811e-16,4.56362982381765e-15,nan
XM_038046766.1,656.206716,0.403253123,0.167672685,2.405001881,0.016172383,0.025307031,nan
XM_038046767.1,206.7108444,-0.021052356,0.161223872,-0.130578404,0.896108828,0.931874375,nan
XM_038046768.1,3488.088797,0.014319764,0.180279137,0.079431065,0.93668976,0.95843337,nan
XM_038046769.1,3488.088797,0.014319764,0.180279137,0.079431065,0.93668976,0.95843337,nan
XM_038046770.1,3071.784329,0.125529613,0.20797621,0.603576788,0.546125049,0.623664765,nan
XM_038046771.1,3488.088797,0.014319764,0.180279137,0.079431065,0.93668976,0.95843337,nan
XM_038046772.1,3488.088797,0.014319764,0.180279137,0.079431065,0.93668976,0.95843337,nan
XM_038046773.1,3488.088797,0.014319764,0.180279137,0.079431065,0.93668976,0.95843337,nan
XM_038046774.1,3488.088797,0.014319764,0.180279137,0.079431065,0.93668976,0.95843337,nan
XM_038046775.1,3278.680218,0.015273756,0.197644984,0.077278746,0.938401799,0.960025399,nan
XM_038046776.1,3071.045263,0.126683065,0.207960576,0.609168658,0.542412652,0.620577803,nan
