Gene,converted_alias,Gene-id,description,GO_Name,GO_Domain
XM_038049229.1,GO:0003735,LOC119647910,60S ribosomal protein L27a,structural constituent of ribosome,molecular_function
XM_038049230.1,GO:0006869,LOC119647907,"vacuolar protein sorting-associated protein 13, transcript variant X2",lipid transport,biological_process
XM_038049231.1,GO:0005515,LOC119647911,vasotab-like,protein binding,molecular_function
XM_038049232.1,GO:0004252,LOC119647912,"uncharacterized LOC119647912, transcript variant X1",serine-type endopeptidase activity,molecular_function
XM_038049233.1,GO:0004252,LOC119647912,"uncharacterized LOC119647912, transcript variant X1",serine-type endopeptidase activity,molecular_function
XM_038049234.1,GO:0004252,LOC119647912,"uncharacterized LOC119647912, transcript variant X1",serine-type endopeptidase activity,molecular_function
XM_038049235.1,GO:0004888,LOC119647913,frizzled,transmembrane signaling receptor activity,molecular_function
XM_038049236.1,GO:0000978,LOC119647914,deformed epidermal autoregulatory factor 1,RNA polymerase II cis-regulatory region sequence-specific DNA binding,molecular_function
XM_038049237.1,GO:0003712,LOC119647915,mediator of RNA polymerase II transcription subunit 1-like,transcription coregulator activity,molecular_function
XM_038049238.1,GO:0006869,LOC119647907,"vacuolar protein sorting-associated protein 13, transcript variant X2",lipid transport,biological_process
XM_038049239.1,GO:0005509,LOC119647916,"neurocalcin homolog, transcript variant X1",calcium ion binding,molecular_function
XM_038049240.1,GO:0005509,LOC119647917,"neuronal calcium sensor 2, transcript variant X1",calcium ion binding,molecular_function
XM_038049241.1,GO:0005509,LOC119647917,"neuronal calcium sensor 2, transcript variant X1",calcium ion binding,molecular_function
XM_038049242.1,GO:0000387,LOC119647918,probable small nuclear ribonucleoprotein Sm D1,spliceosomal snRNP assembly,biological_process
XM_038049243.1,GO:0016020,LOC119647919,uncharacterized LOC119647919,membrane,cellular_component
XM_038049244.1,GO:0005515,LOC119647920,"breast cancer anti-estrogen resistance protein 1, transcript variant X2",protein binding,molecular_function
XM_038049245.1,GO:0005515,LOC119647920,"breast cancer anti-estrogen resistance protein 1, transcript variant X2",protein binding,molecular_function
XM_038049246.1,GO:0006869,LOC119647907,"vacuolar protein sorting-associated protein 13, transcript variant X2",lipid transport,biological_process
XM_038049247.1,nan,,,,
XM_038049248.1,nan,,,,
XM_038049249.1,GO:0005737,LOC119647923,"nuclear distribution protein nudE homolog, transcript variant X6",cytoplasm,cellular_component
XM_038049250.1,GO:0005737,LOC119647923,"nuclear distribution protein nudE homolog, transcript variant X6",cytoplasm,cellular_component
XM_038049251.1,GO:0005737,LOC119647923,"nuclear distribution protein nudE homolog, transcript variant X6",cytoplasm,cellular_component
XM_038049252.1,GO:0005737,LOC119647923,"nuclear distribution protein nudE homolog, transcript variant X6",cytoplasm,cellular_component
XM_038049253.1,GO:0005737,LOC119647923,"nuclear distribution protein nudE homolog, transcript variant X6",cytoplasm,cellular_component
XM_038049254.1,GO:0005737,LOC119647923,"nuclear distribution protein nudE homolog, transcript variant X6",cytoplasm,cellular_component
XM_038049255.1,GO:0005737,LOC119647923,"nuclear distribution protein nudE homolog, transcript variant X6",cytoplasm,cellular_component
XM_038049256.1,GO:0016020,LOC119647925,uncharacterized LOC119647925,membrane,cellular_component
XM_038049257.1,GO:0005515,LOC119647924,"uncharacterized LOC119647924, transcript variant X3",protein binding,molecular_function
XM_038049258.1,GO:0000166,LOC119647926,ADP-ribosylation factor-like protein 1,nucleotide binding,molecular_function
XM_038049259.1,GO:0016020,LOC119647927,solute carrier family 35 member C2,membrane,cellular_component
XM_038049260.1,nan,,,,
XM_038049261.1,nan,,,,
XM_038049262.1,GO:0005634,LOC119647929,"transcription initiation factor TFIID subunit 4, transcript variant X1",nucleus,cellular_component
XM_038049263.1,GO:0005634,LOC119647929,"transcription initiation factor TFIID subunit 4, transcript variant X1",nucleus,cellular_component
XM_038049264.1,GO:0005634,LOC119647929,"transcription initiation factor TFIID subunit 4, transcript variant X1",nucleus,cellular_component
XM_038049265.1,GO:0005515,LOC119647924,"uncharacterized LOC119647924, transcript variant X3",protein binding,molecular_function
XM_038049266.1,GO:0005515,LOC119647931,"large proline-rich protein BAG6, transcript variant X2",protein binding,molecular_function
XM_038049267.1,GO:0005515,LOC119647931,"large proline-rich protein BAG6, transcript variant X2",protein binding,molecular_function
XM_038049268.1,GO:0005515,LOC119647931,"large proline-rich protein BAG6, transcript variant X2",protein binding,molecular_function
XM_038049269.1,GO:0005515,LOC119647931,"large proline-rich protein BAG6, transcript variant X2",protein binding,molecular_function
XM_038049270.1,GO:0005515,LOC119647931,"large proline-rich protein BAG6, transcript variant X2",protein binding,molecular_function
XM_038049271.1,GO:0005515,LOC119647931,"large proline-rich protein BAG6, transcript variant X2",protein binding,molecular_function
XM_038049272.1,GO:0005515,LOC119647932,sphingomyelin synthase-related 1-like,protein binding,molecular_function
XM_038049273.1,GO:0002376,LOC119647933,gram-negative bacteria-binding protein 3-like,immune system process,biological_process
