Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Name
XM_038046482.1,864.0599177,0.32411046,0.119807015,2.705271133,0.006824866,0.011107285,nan
XM_038046483.1,376.7282753,1.672271772,0.213193677,7.843908856,4.36734143249766e-15,1.86848373410528e-14,nan
XM_038046484.1,1957.804308,3.757829142,0.300060735,12.52356175,5.54880960571239e-36,7.45541449407202e-35,nan
XM_038046485.1,1957.804308,3.757829142,0.300060735,12.52356175,5.54880960571239e-36,7.45541449407202e-35,nan
XM_038046486.1,1957.804308,3.757829142,0.300060735,12.52356175,5.54880960571239e-36,7.45541449407202e-35,nan
XM_038046487.1,367.9967347,2.531342185,0.23239853,10.89224697,1.25504918646339e-27,1.10642257312737e-26,nan
XM_038046488.1,321.8449222,2.453385175,0.247296502,9.920824417,3.37953106029321e-23,2.33951438105746e-22,nan
XM_038046489.1,339.6552512,2.509000705,0.242840555,10.33188506,5.05571261033176e-25,3.84152942118381e-24,nan
XM_038046490.1,339.6552512,2.509000705,0.242840555,10.33188506,5.05571261033176e-25,3.84152942118381e-24,nan
XM_038046491.1,342.8333808,2.498210076,0.246329099,10.14175786,3.60552222911303e-24,2.6016814924213e-23,nan
XM_038046492.1,342.8333808,2.498210076,0.246329099,10.14175786,3.60552222911303e-24,2.6016814924213e-23,nan
XM_038046493.1,411.5716736,-0.124044744,0.118246246,-1.049037483,0.294160867,0.363503853,nan
XM_038046494.1,264.952375,-0.580722557,0.176982208,-3.281248231,0.001033487,0.001858298,nan
XM_038046495.1,11.3073448,-0.255997332,0.671960395,-0.380970864,0.703224869,0.770206121,nan
XM_038046496.1,1578.297021,-0.06871629,0.140879322,-0.487767038,0.625714862,0.69894558,nan
XM_038046497.1,0.147840809,1.282248614,3.662388135,0.350112704,0.726254117,0.790360881,nan
XM_038046498.1,8791.022455,1.513962851,0.426249863,3.55182015,0.000382576,0.000722945,nan
XM_038046499.1,1776.497759,0.050023751,0.176897902,0.282783179,0.77734305,0.836272309,nan
XM_038046500.1,39.83412866,2.822675443,0.446607672,6.320257404,2.61127971562496e-10,8.08802869733176e-10,nan
XM_038046501.1,39.83412866,2.822675443,0.446607672,6.320257404,2.61127971562496e-10,8.08802869733176e-10,nan
XM_038046502.1,704.5230657,-0.179895119,0.150928397,-1.191923608,0.2332912,0.295546246,nan
XM_038046503.1,668.2112043,1.898051446,0.193519255,9.808075396,1.03931847615619e-22,7.05382926035809e-22,nan
XM_038046504.1,445.1985966,-0.779181683,0.121278443,-6.424733585,1.32100668961697e-10,4.19082684610073e-10,nan
XM_038046505.1,6.355880135,-3.906989206,0.88473866,-4.415981107,1.00552866941531e-05,2.23031681422482e-05,nan
XM_038046506.1,1772.777351,-0.991474975,0.117352533,-8.448688301,2.9459381794148e-17,1.43368214208323e-16,nan
XM_038046507.1,0.48036982,0.312198077,2.623749824,0.11898927,0.905283857,0.937925937,nan
XM_038046508.1,6293.857676,1.218159996,0.130736117,9.317700635,1.18888767759412e-20,7.13216617514756e-20,nan
XM_038046509.1,6149.119179,1.199860702,0.132661962,9.044496849,1.50356000910647e-19,8.4221275299437e-19,nan
XM_038046510.1,5769.92316,1.120249947,0.132873066,8.430978395,3.4278704264493e-17,1.66525579713504e-16,nan
XM_038046511.1,3226.38744,0.475597182,0.157089113,3.027562981,0.002465343,0.00424128,nan
XM_038046512.1,4372.82761,0.996792937,0.14668877,6.795291387,1.08093826789378e-11,3.71634856543407e-11,nan
XM_038046513.1,4372.82761,0.996792937,0.14668877,6.795291387,1.08093826789378e-11,3.71634856543407e-11,nan
XM_038046514.1,4372.790671,0.996768674,0.146692424,6.794956753,1.08345024887922e-11,3.7244643356301e-11,nan
XM_038046515.1,4372.82761,0.996792937,0.14668877,6.795291387,1.08093826789378e-11,3.71634856543407e-11,nan
XM_038046516.1,4372.82761,0.996792937,0.14668877,6.795291387,1.08093826789378e-11,3.71634856543407e-11,nan
XM_038046517.1,2.69733612,0.968090283,0.814212046,1.188990371,0.234443456,0.296791973,nan
XM_038046518.1,2.69733612,0.968090283,0.814212046,1.188990371,0.234443456,0.296791973,nan
XM_038046519.1,2.69733612,0.968090283,0.814212046,1.188990371,0.234443456,0.296791973,nan
XM_038046520.1,1221.620964,-0.275048608,0.129635186,-2.12171261,0.033861879,0.049566552,nan
XM_038046521.1,13210.50071,-0.212148413,0.142708101,-1.486589846,0.137123171,0.182435307,nan
XM_038046522.1,13210.50071,-0.212148413,0.142708101,-1.486589846,0.137123171,0.182435307,nan
XM_038046523.1,8546.720575,0.038444422,0.162215954,0.236995321,0.81266042,0.86427966,nan
XM_038046524.1,1201.663112,-0.602383539,0.081338644,-7.405871433,1.30292016243434e-13,5.08918918774575e-13,nan
XM_038046525.1,2213.544104,-0.020992023,0.095382341,-0.220082905,0.825806589,0.875916152,nan
XM_038046526.1,2149.358723,-0.002665981,0.098571004,-0.027046306,0.978422801,0.988835403,nan
XM_038046527.1,301.4189596,-0.401762576,0.12184517,-3.297320486,0.000976121,0.001760682,nan
XM_038046528.1,267.3161554,-0.711383845,0.112869062,-6.302735537,2.9243764251224e-10,9.02823679582159e-10,nan
XM_038046529.1,9.053509605,2.041794741,0.729022547,2.800729209,0.005098728,0.008434214,nan
XM_038046530.1,150.3962495,-0.438425112,0.209200719,-2.09571513,0.036107469,0.052643705,nan
XM_038046531.1,5.728134112,-1.537321035,1.511242872,-1.017256103,0.309031613,0.379857149,OBP54
XM_038046532.1,57.09207754,4.735758814,0.480099054,9.864128605,5.95492496650528e-23,4.07987004111877e-22,OR182
XM_038046533.1,57.09207754,4.735758814,0.480099054,9.864128605,5.95492496650528e-23,4.07987004111877e-22,OR188
XM_038046534.1,904.5190421,-0.692097808,0.102954416,-6.722371249,1.78790703131011e-11,6.05471035964524e-11,nan
XM_038046535.1,1339.276177,-1.256179808,0.12317688,-10.19817852,2.02025736633989e-24,1.48639695430738e-23,nan
XM_038046536.1,0.96072694,-0.585402453,1.918925193,-0.305067886,0.760314449,0.821539085,nan
XM_038046537.1,408.289456,-0.46624573,0.125836139,-3.705181483,0.000211239,0.000410626,nan
XM_038046538.1,279.2504802,-0.926297784,0.107428215,-8.622481392,6.5518613094937e-18,3.33160183519345e-17,nan
XM_038046539.1,352.5639092,-0.358403727,0.129313261,-2.771592973,0.005578274,0.009176246,nan
XM_038046540.1,330.0227915,-0.292686889,0.129390677,-2.262040012,0.023694931,0.035538785,nan
XM_038046541.1,1.847533813,3.238074303,1.535682557,2.108557064,0.034982832,0.051079712,nan
XM_038046542.1,909.2896224,-0.065100999,0.129659978,-0.502090157,0.615604104,0.689122453,nan
XM_038046543.1,15670.20841,-0.630073289,0.127228208,-4.952308123,7.33383572555102e-07,1.79664366041487e-06,nan
XM_038046544.1,15674.01452,-0.629976109,0.127248208,-4.950766061,7.39219201861427e-07,1.81039883391254e-06,nan
XM_038046545.1,14717.42251,-0.598583606,0.128083154,-4.673398387,2.96256310520698e-06,6.87880696079211e-06,nan
XM_038046546.1,13892.64289,-0.689316774,0.124450076,-5.538901988,3.04373917211906e-08,8.27956300347715e-08,nan
XM_038046547.1,308.9528096,1.365900087,0.13622314,10.02693142,1.16067758370257e-23,8.18698762510705e-23,nan
XM_038046548.1,379.4302412,-1.338443557,0.102216347,-13.0942222,3.55295297534352e-39,5.42111857205641e-38,nan
XM_038046549.1,1158.199677,0.162062949,0.144209123,1.123805108,0.261095714,0.326864671,nan
XM_038046550.1,636.3303303,-0.692643791,0.123612524,-5.603346386,2.10252455856502e-08,5.77871203960948e-08,nan
XM_038046551.1,45.93372403,-1.406758172,0.505819145,-2.781148529,0.005416695,0.008920985,nan
XM_038046552.1,5195.998089,-7.051289092,0.346826765,-20.33086773,6.85789591520687e-92,5.22219219598849e-90,nan
