Gene_ID,Family,Antenna,Palp,Tarsi,Expr_Status,Antenna_Biased,Palp_Biased,Tarsi_Biased,Antenna_Specific,Palp_Specific,Tarsi_Specific,Antenna_Class,Palp_Class,Tarsi_Class,Cluster_Rep,Is_Duplicate
OR93,OR,450.6033651333333,0.5855953091111111,2.9133725768888885,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR67,True
OR77,OR,450.6033651333333,0.5855953091111111,2.9133725768888885,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR67,True
OR109,OR,450.6033651333333,0.5855953091111111,2.9133725768888885,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR67,True
OR57,OR,461.8634821333333,0.3632322063333333,0.2017522511111111,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR57,False
OR75,OR,0.0,0.1828648704444444,17.49440912888889,Expressed,False,False,True,False,False,True,Not expressed,Not expressed,Tarsi-specific,OR75,False
OR70,OR,0.0,0.2761533133333333,0.331868145,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OR70,False
OR79,OR,150.1945974,14.507613750555556,190.09865205777777,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,OR79,False
OR52,OR,0.0,0.0,0.0,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OR52,False
OR87,OR,22.891852545888888,0.5278457278888888,1.732691539,Expressed,False,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR87,False
OR55,OR,8.456696471666667,1.2977595361111112,43.73438045044445,Expressed,False,False,False,False,False,True,Not expressed,Not expressed,Tarsi-specific,OR55,False
OR160,OR,7.858385129777778,5.261181307222222,202.98910434444443,Expressed,False,False,True,False,False,True,Not expressed,Not expressed,Tarsi-specific,OR160,False
OR73,OR,18.08979776111111,4.255875552666667,20.38918896922222,Expressed,False,False,False,False,False,False,Expressed,Not expressed,Expressed,OR73,False
OR114,OR,43.36411631766667,15.034387203333331,256.4718855477778,Expressed,False,False,True,False,False,False,Expressed,Expressed,Tarsi-biased,OR114,False
OR83,OR,1.63078049,6.226731043,37.47889426688889,Expressed,False,False,True,False,False,True,Not expressed,Not expressed,Tarsi-specific,OR83,False
OR147,OR,1.4835004894444446,944.7571965111111,0.0,Expressed,False,True,False,False,True,False,Not expressed,Palp-specific,Not expressed,OR147,False
OR78,OR,17.594703668666668,15.615575303,30.045999122222224,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,OR78,False
OR157,OR,3.4657758004444443,1929.9655284444443,0.4961636271111111,Expressed,False,True,False,False,True,False,Not expressed,Palp-specific,Not expressed,OR157,False
OR118,OR,3.2412453075555554,3021.160824444444,0.6294218955555556,Expressed,False,True,False,False,True,False,Not expressed,Palp-specific,Not expressed,OR118,False
OR60,OR,1.1395328911111111,0.1490105567777777,4.189778662888889,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OR60,False
OR76,OR,533.4872296555556,0.0,0.0,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR76,False
OR88,OR,271.2643127,3.931439948333333,0.879844398,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR88,False
OR63,OR,99.00562854444443,0.0907823731111111,0.5562755862222222,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR63,False
OR51,OR,0.1836137997777777,0.0,0.1659340724444444,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OR51,False
OR94,OR,24.42283799555556,20.324283973333333,5.1706441804444445,Expressed,False,False,False,False,False,False,Expressed,Expressed,Not expressed,OR94,False
OR159,OR,185.03326700444444,109.65466323555556,1022.5393185111112,Expressed,False,False,True,False,False,False,Expressed,Expressed,Tarsi-biased,OR159,False
OR14,OR,144.40926421444445,0.0,0.0,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR14,False
OR39,OR,0.5213635343333334,0.0,0.0,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OR39,False
OR74,OR,0.0,0.0,0.0,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OR74,False
OR42,OR,0.0,0.074957202,0.0,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OR42,False
OR48,OR,0.0,0.0,0.0,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OR48,False
OR7,OR,11125.42049311111,8.009382497555556,45.01218685733333,Expressed,True,False,False,False,False,False,Antenna-biased,Not expressed,Expressed,OR7,False
OR6,OR,16403.151407,11.574830380777778,54.59127346444444,Expressed,True,False,False,False,False,False,Antenna-biased,Expressed,Expressed,OR6,False
OR5,OR,6096.470393,6.739040309777778,43.486351075777776,Expressed,True,False,False,False,False,False,Antenna-biased,Not expressed,Expressed,OR5,False
OR3,OR,15428.638486,6.9551483687777775,24.65799378066667,Expressed,True,False,False,False,False,False,Antenna-biased,Not expressed,Expressed,OR3,False
OR8,OR,17669.504119111112,6.273379737777778,101.188184034,Expressed,True,False,False,False,False,False,Antenna-biased,Not expressed,Expressed,OR8,False
OR4,OR,26974.673667555555,13.228528106444443,124.65509259111111,Expressed,True,False,False,False,False,False,Antenna-biased,Expressed,Expressed,OR4,False
OR10,OR,12032.657355777776,3.565447884666667,9.981667673333334,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR10,False
OR9,OR,20940.227437222224,14.282762235888889,145.53310421444445,Expressed,True,False,False,False,False,False,Antenna-biased,Expressed,Expressed,OR9,False
OR11,OR,20940.227437222224,14.282762235888889,145.53310421444445,Expressed,True,False,False,False,False,False,Antenna-biased,Expressed,Expressed,OR11,False
OR12,OR,20940.227437222224,14.282762235888889,145.53310421444445,Expressed,True,False,False,False,False,False,Antenna-biased,Expressed,Expressed,OR12,False
OR21,OR,3071.254973411111,21.114757374444444,335.0710882922222,Expressed,True,False,False,False,False,False,Antenna-biased,Expressed,Expressed,OR21,False
OR20,OR,261.91266679877776,0.0740533547777777,0.3627769,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR20,False
OR41,OR,301.0172464666667,0.1461158515555555,3.0161760684444445,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR41,False
OR34,OR,2095.356567755556,0.226252105,0.1216320562222222,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR34,False
OR54,OR,49.72066044666666,0.0907823731111111,2.0675243776666665,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR54,False
