Gene,Ant_VF1,Ant_VF2,Ant_VF3,Ant_Vm1,Ant_Vm2,Ant_Vm3,Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
XM_038046525.1,2389.182747,2253.971606,2125.342335,1264.697325,2130.323453,2084.547875,nan,2022.095124,-0.289513332,0.253980629,-1.139903204,0.25432663,0.587681224
XM_038046526.1,2349.996923,2213.08561,2056.080713,1210.256712,2082.935065,2081.266845,nan,1980.067578,-0.285472228,0.262371528,-1.088045757,0.276574908,0.612270963
XM_038046527.1,218.9796054,207.5750596,239.4473208,370.6149447,191.7075706,200.1428443,nan,235.9329232,0.208862822,0.427787267,0.488239922,0.62537991,0.85179199
XM_038046528.1,299.6563021,322.8945371,275.0675834,366.4272052,319.8716206,201.236521,nan,294.6106901,-0.005296014,0.375335311,-0.014110086,0.988742154,0.998915949
XM_038046529.1,0,3.14507666,2.968355216,33.50191591,0,0,nan,6.604156239,2.508530163,3.127254997,0.802150821,0.42246572,0.726242441
XM_038046530.1,162.5059177,128.9481431,131.5970813,259.6398483,218.6327912,53.59016049,nan,157.9094567,0.341164302,0.636338978,0.536136107,0.591864487,0.833483536
XM_038046531.1,2.305048478,1.048358887,0.989451739,0,5.385044119,0,OBP54,1.485143579,0.334339407,3.848748409,0.086869645,0.930775128,NA
XM_038046532.1,54.16863923,40.88599658,65.30381476,37.68965539,78.62164413,203.4238745,OR182,79.54905657,1.018445906,0.78627311,1.295282635,0.195222747,0.517229341
XM_038046533.1,54.16863923,40.88599658,65.30381476,37.68965539,78.62164413,203.4238745,OR188,79.54905657,1.018445906,0.78627311,1.295282635,0.195222747,0.517229341
XM_038046534.1,949.6799728,792.5593183,1007.26187,684.6954063,950.9987913,990.8711306,nan,888.0307664,-0.051054989,0.261835956,-0.194988457,0.845401984,0.95566789
XM_038046535.1,1462.553259,1124.889085,1082.460202,1308.66859,998.3871796,681.3606119,nan,1098.240002,-0.283832784,0.301911876,-0.940117984,0.347157045,0.6750286
XM_038046536.1,0,0,0.989451739,0,0,0,nan,0.164392957,-0.947770792,4.080472857,-0.232269844,0.816328433,NA
XM_038046537.1,404.5360078,296.6855649,399.7385025,527.6551755,263.8671618,324.8219931,nan,366.2827663,0.032834881,0.388000473,0.084625879,0.932558825,0.983161532
XM_038046538.1,276.6058173,205.4783418,316.6245564,265.9214575,224.0178353,223.1100559,nan,249.5640113,-0.150394282,0.369212077,-0.407338468,0.683759413,0.881719989
XM_038046539.1,308.876496,252.6544917,357.1920777,402.0229909,228.3258706,223.1100559,nan,292.4204195,-0.09464939,0.402656897,-0.235062136,0.814160506,0.943328449
XM_038046540.1,292.7411567,230.6389551,329.487429,351.770117,225.0948442,223.1100559,nan,272.8144619,-0.07932199,0.386061512,-0.205464642,0.83720912,0.952443418
XM_038046541.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038046542.1,1033.814242,1013.763043,1086.418009,942.2413848,1271.947421,473.5620304,nan,960.4845718,-0.209288991,0.359743483,-0.581772849,0.560719695,0.81539655
XM_038046543.1,20532.21932,21492.40554,23680.54846,13247.91387,22744.27234,24553.04292,nan,20853.81906,-0.102758113,0.244727942,-0.419887132,0.674567909,0.877735036
XM_038046544.1,20533.37184,21493.45389,23686.48517,13256.28935,22748.58037,24553.04292,nan,20857.11948,-0.102603424,0.244622946,-0.419434996,0.674898253,0.877735036
