Gene_ID,Family,Antenna,Palp,Tarsi,Expr_Status,Antenna_Biased,Palp_Biased,Tarsi_Biased,Antenna_Specific,Palp_Specific,Tarsi_Specific,Antenna_Class,Palp_Class,Tarsi_Class,Cluster_Rep,Is_Duplicate
IR66,IR,0.0,0.1560787345555555,0.0,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR66,False
IR67,IR,0.0,0.1582816488888888,0.1263212986666666,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR67,False
IR13,IR,27.815901472777774,14.154899654888888,367.05737600888887,Expressed,False,False,True,False,False,False,Expressed,Expressed,Tarsi-biased,IR13,False
IR31,IR,390.9498096888889,25.26300513111111,33.79907747,Expressed,True,False,False,False,False,False,Antenna-biased,Expressed,Expressed,IR31,False
IR34,IR,8.001410038444444,3.380778041777778,12.404060547777776,Expressed,False,False,False,False,False,True,Not expressed,Not expressed,Tarsi-specific,IR34,False
IR33,IR,130.12040756444443,15.566457168555557,315.52668179666665,Expressed,False,False,True,False,False,False,Expressed,Expressed,Tarsi-biased,IR33,False
IR1,IR,2415.058409,3868.8677292222224,566.3325198666666,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,IR1,False
IR2,IR,2415.058409,3868.8677292222224,566.3325198666666,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,IR2,False
IR46,IR,586.8144264777778,61.23078389333333,164.26777107777778,Expressed,True,False,False,False,False,False,Antenna-biased,Expressed,Expressed,IR46,False
IR35,IR,292.1224728222222,4.429328600444444,4.337233380777778,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,IR35,False
