Gene,Ant_MF1,Ant_MF2,Ant_MF3,Ant_VF1,Ant_VF2,Ant_VF3,Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
XM_038046549.1,867.2760335,1713.852278,1566.592939,1253.946372,1851.401794,1467.356929,nan,1449.022691,0.152834904,0.246590131,0.619793273,0.535393898,0.921913945
XM_038046550.1,849.2640702,661.6103251,580.8622555,784.8690067,809.3330605,721.3103176,nan,731.27976,0.164451016,0.183821249,0.894624624,0.370987784,0.852575081
XM_038046551.1,101.7675927,95.01850414,94.19387926,94.50698759,176.124293,111.8080465,nan,111.8954632,0.411802504,0.336606613,1.22339398,0.221180926,0.741546808
XM_038046552.1,13581.92094,9301.255794,11182.63125,11089.58823,9090.319906,10839.4438,nan,10797.88354,-0.11685646,0.16294566,-0.717149878,0.473281622,0.894271152
XM_038046553.1,13581.92094,9301.255794,11182.63125,11089.58823,9090.319906,10839.4438,nan,10797.88354,-0.11685646,0.16294566,-0.717149878,0.473281622,0.894271152
XM_038046554.1,4.502990828,0,4.131310494,0,0,0.989451739,nan,1.648906129,-3.046022596,2.757602147,-1.10459103,0.26933684,NA
XM_038046555.1,0.900598166,0,0,8.067669672,0,0,nan,1.504465412,2.918277206,3.283018863,0.88890053,0.374056541,NA
XM_038046556.1,2.701794497,5.865339762,0,8.067669672,0,0.989451739,nan,2.990602846,0.024522612,2.065277997,0.011873759,0.990526334,0.999568951
XM_038046557.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038046558.1,2.701794497,5.865339762,0,8.067669672,0,0.989451739,nan,2.990602846,0.024522612,2.065277997,0.011873759,0.990526334,0.999568951
XM_038046559.1,208.9387744,157.1911056,180.1251375,224.7422266,172.9792163,214.7110273,nan,192.4433074,0.184917752,0.252530763,0.732258317,0.464010916,0.888274552
XM_038046560.1,1272.545208,1347.855077,1216.257809,965.8153122,1099.728472,1010.230225,nan,1146.745769,-0.302671028,0.140686165,-2.151391562,0.031445307,0.309569304
XM_038046561.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038046562.1,247.6644955,344.881978,313.9795975,205.1493145,379.505917,343.3397534,nan,304.6657352,0.046943037,0.273272357,0.171781141,0.863609592,0.978242416
XM_038046563.1,824.0473215,682.7255482,789.0803043,1891.292276,1484.476184,1621.7114,nan,1213.459211,1.139289993,0.162093154,7.028612667,2.08597150114214e-12,3.7732341405619e-10
XM_038046564.1,5.403588994,0,0,0,0,0.989451739,nan,0.982220621,-2.184641508,3.772544315,-0.579089687,0.562528658,NA
